iter	Passed	Remaining
397	23133	5928
398	23147	5859
399	23182	5795
400	23217	5732
401	23252	5668
402	23265	5599
403	23299	5536
404	23333	5473
405	23367	5410
406	23401	5347
407	23436	5284
408	23452	5218
409	23487	5155
410	23499	5088
411	23516	5022
412	23530	4956
413	23564	4895
414	23598	4833
415	23612	4767
416	23645	4706
417	23659	4641
418	23673	4576
419	23687	4511
420	23701	4447
421	23735	4387
422	23751	4323
423	23786	4263
424	23820	4203
425	23854	4143
426	23888	4084
427	23903	4021
428	23916	3958
429	23933	3896
430	23967	3837
431	24002	3778
432	24016	3716
433	24050	3657
434	24064	3595
435	24080	3534
436	24114	3476
437	24148	3418
438	24165	3357
439	24199	3299
440	24233	3242
441	24267	3184
442	24301	3126
443	24335	3069
444	24368	3011
445	24403	2954
446	24439	2897
447	24454	2838
448	24468	2779
449	24482	2720
450	24517	2663
451	24530	2604
452	24543	2546
453	24578	2490
454	24612	2434
455	24624	2376
456	24647	2319
457	24681	2263
458	24695	2205
459	24729	2150
460	24764	2095
461	24778	2038
462	24814	1982
463	24837	1927
464	24851	1870
465	24865	1814
466	24900	1759
467	24934	1704
468	24947	1649
469	24982	1594
470	24998	1539
471	25033	1485
472	25068	1430
473	25082	1375
474	25095	1320
475	25129	1267
476	25146	1212
477	25161	1158
478	25197	1104
479	25210	1050
480	25244	997
481	25278	944
482	25295	890
483	25331	837
484	25366	784
485	25380	731
486	25415	678
487	25450	625
488	25485	573
489	25519	520
490	25532	468
491	25566	415
492	25578	363
493	25613	311
494	25627	258
495	25640	206
496	25653	154
497	25688	103
498	25723	51
499	25759	0
