iter	Logloss
411	0.1930224364
412	0.1930223406
413	0.1928485073
414	0.1924749783
415	0.1924748442
416	0.1923366243
417	0.1923365668
418	0.1923365285
419	0.1923360112
420	0.1923359154
421	0.1921669672
422	0.192166699
423	0.1918733816
424	0.1917812158
425	0.1917761966
426	0.1917230543
427	0.1917229393
428	0.1917228435
429	0.1917226328
430	0.1916813297
431	0.1915605429
432	0.1915604854
433	0.1914016331
434	0.1914015948
435	0.1914014798
436	0.1913932039
437	0.1913692381
438	0.1913665752
439	0.1913517092
440	0.1913397359
441	0.1912622446
442	0.1911521476
443	0.1910748096
444	0.1910419548
445	0.1909560343
446	0.1909543676
447	0.1909542718
448	0.1909542718
449	0.1909542527
450	0.1908838879
451	0.1908838496
452	0.1908838496
453	0.1906856673
454	0.1904900522
455	0.1904900138
456	0.1904887878
457	0.1904027907
458	0.1904026949
459	0.1902737662
460	0.1900740131
461	0.190073879
462	0.1900215029
463	0.190017499
464	0.1900172117
465	0.1900171159
466	0.1897935119
467	0.1896643534
468	0.1896643151
469	0.1896188548
470	0.1896178778
471	0.1894384314
472	0.1891000943
473	0.1890997111
474	0.189099692
475	0.1890852474
476	0.1890849025
477	0.1890846727
478	0.1890726993
479	0.1890726993
480	0.1890634272
481	0.1889818554
482	0.1889811466
483	0.188960495
484	0.1887872747
485	0.1887872364
486	0.1887754547
487	0.188730914
488	0.1886494571
489	0.1886357597
490	0.1886357405
491	0.1885591688
492	0.1885591305
493	0.1884723862
494	0.1884720031
495	0.1884719839
496	0.1884715624
497	0.1883905271
498	0.1883410821
499	0.1882872501
